customer_id,insured_period,residential,building_painted,building_fenced,garden,settlement,target,insured_period_round,scaled_building_dim,year_of_observation,year_of_occupancy,years_active,year_of_observation_freq_encode,year_of_occupancy_freq_encode,years_active_freq_encode,building_type_2,building_type_3,building_type_4,quarter_Q2,quarter_Q3,quarter_Q4,decades_active_D2,decades_active_D3,decades_active_D4,decades_active_D5,decades_active_D6,decades_active_D7,decades_active_D8
H14663,1.0,0,1,0,1,0,0.0,12,0.062163906216390626,2013,1960,53,2093,3733,989,0,0,0,0,0,1,0,0,0,0,1,0,0
H3802,1.0,0,1,0,1,0,0.0,12,0.1277694127769413,2014,1960,54,1517,3733,680,0,0,0,0,0,1,0,0,0,0,1,0,0
H3834,1.0,0,0,0,1,0,0.0,12,0.610668961066896,2013,1960,53,2093,3733,989,0,0,0,0,0,1,0,0,0,0,1,0,0
H4977,1.0,0,0,1,0,1,0.0,12,0.11486341148634116,2012,1980,32,2225,1525,455,0,0,0,0,0,1,0,1,0,0,0,0,0
H7390,1.0,0,1,0,1,0,0.0,12,0.6085179608517961,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H18177,0.24109589,0,0,1,0,1,0.0,3,0.1180899118089912,2013,1960,53,2093,3733,989,0,0,0,0,0,0,0,0,0,0,1,0,0
H356,1.0,0,0,0,1,0,0.0,12,0.19552591955259196,2013,1960,53,2093,3733,989,0,0,0,0,0,1,0,0,0,0,1,0,0
H14635,1.0,0,1,0,1,0,0.0,12,0.12024091202409122,2012,1960,52,2225,3733,1104,0,0,0,0,0,1,0,0,0,1,0,0,0
H13053,1.0,0,0,1,0,1,1.0,12,0.7152075715207572,2012,2007,5,2225,60,47,0,0,0,0,0,1,0,0,0,0,0,0,0
H14330,1.0,0,1,0,1,0,1.0,12,0.8580339858033986,2014,1988,26,1517,720,158,0,0,0,0,0,1,0,1,0,0,0,0,0
H14331,1.0,0,1,0,1,0,0.0,12,0.8580339858033986,2015,1988,27,1218,720,134,0,0,0,0,0,1,0,1,0,0,0,0,0
H19461,1.0,0,0,1,0,1,0.0,12,0.5254893525489353,2015,1970,45,1218,289,59,0,0,0,0,0,1,0,0,0,1,0,0,0
H19462,1.0,0,0,1,0,1,0.0,12,0.5254893525489353,2016,1970,46,1093,289,62,0,0,0,0,0,1,0,0,0,1,0,0,0
H17764,0.956284153,0,0,1,0,1,0.0,12,0.34953753495375356,2016,1950,66,1093,315,50,0,0,0,0,0,1,0,0,0,0,0,1,0
H4421,1.0,1,0,1,0,1,1.0,12,0.494514949451495,2012,1970,42,2225,289,86,0,0,0,0,0,1,0,0,1,0,0,0,0
H4438,0.99726776,0,1,0,1,0,0.0,12,0.1288449128844913,2016,1980,36,1093,1525,203,0,0,0,0,0,1,0,0,1,0,0,0,0
H16003,1.0,0,0,1,0,1,0.0,12,0.2579049257904926,2016,1940,76,1093,72,14,0,0,0,0,0,1,0,0,0,0,0,0,1
H18009,1.0,0,0,1,0,1,0.0,12,0.1185201118520112,2012,1950,62,2225,315,88,0,0,0,0,0,1,0,0,0,0,1,0,0
H12704,1.0,0,0,1,0,1,1.0,12,0.0793719079371908,2013,1982,31,2093,18,18,1,0,0,0,0,1,0,1,0,0,0,0,0
H16016,1.0,0,0,1,0,1,0.0,12,0.30092493009249305,2016,1960,56,1093,3733,457,1,0,0,0,0,1,0,0,0,0,1,0,0
H13026,0.99726776,1,1,0,1,0,0.0,12,0.21488492148849214,2016,1960,56,1093,3733,457,1,0,0,0,0,1,0,0,0,0,1,0,0
H13678,0.08493150699999999,0,0,1,0,1,0.0,2,0.2794149279414928,2014,1970,44,1517,289,72,1,0,0,0,0,0,0,0,0,1,0,0,0
H3587,1.0,0,0,1,0,1,1.0,12,0.6235749623574962,2014,1980,34,1517,1525,298,1,0,0,0,0,1,0,0,1,0,0,0,0
H14189,1.0,0,1,0,1,0,0.0,12,0.2794149279414928,2014,1988,26,1517,720,158,1,0,0,0,0,1,0,1,0,0,0,0,0
H14499,1.0,0,1,0,1,0,0.0,12,0.2794149279414928,2013,1988,25,2093,720,226,1,0,0,0,0,1,0,1,0,0,0,0,0
H14500,1.0,0,1,0,1,0,0.0,12,0.2794149279414928,2015,1988,27,1218,720,134,1,0,0,0,0,1,0,1,0,0,0,0,0
H4286,1.0,0,1,0,1,0,0.0,12,0.34222413422241343,2012,1980,32,2225,1525,455,1,0,0,0,0,1,0,1,0,0,0,0,0
H4287,1.0,0,1,0,1,0,0.0,12,0.34222413422241343,2013,1980,33,2093,1525,423,1,0,0,0,0,1,0,0,1,0,0,0,0
H15998,1.0,0,0,1,0,1,0.0,12,0.09657990965799097,2014,1980,34,1517,1525,298,1,0,0,0,0,1,0,0,1,0,0,0,0
H3780,1.0,0,1,0,1,0,0.0,12,0.10303291030329104,2016,1960,56,1093,3733,457,1,0,0,0,0,1,0,0,0,0,1,0,0
H16404,1.0,1,0,1,0,1,0.0,12,0.10453861045386105,2015,1980,35,1218,1525,222,1,0,0,0,0,1,0,0,1,0,0,0,0
H15609,1.0,0,0,1,0,1,1.0,12,0.3331899333189934,2015,1972,43,1218,35,90,0,0,0,0,0,1,0,0,0,1,0,0,0
H15610,0.99726776,0,0,1,0,1,0.0,12,0.3331899333189934,2016,1972,44,1093,35,72,0,0,0,0,0,1,0,0,0,1,0,0,0
H13147,1.0,0,0,1,0,1,1.0,12,0.5590449559044955,2014,1971,43,1517,19,90,0,0,0,0,0,1,0,0,0,1,0,0,0
H13148,1.0,0,1,0,1,0,1.0,12,0.28242632824263286,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H3595,1.0,0,0,0,1,0,0.0,12,0.6364809636480964,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H3596,1.0,0,0,0,1,0,0.0,12,0.6364809636480964,2015,1988,27,1218,720,134,0,0,0,0,0,1,0,1,0,0,0,0,0
H3649,1.0,0,0,0,1,0,0.0,12,0.297913529791353,2015,1988,27,1218,720,134,0,0,0,0,0,1,0,1,0,0,0,0,0
H3695,1.0,0,0,0,1,0,0.0,12,0.23639492363949238,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H3696,1.0,0,0,0,1,0,1.0,12,0.23639492363949238,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H3792,1.0,0,0,1,0,1,0.0,12,0.14605291460529146,2014,1995,19,1517,34,20,0,0,0,0,0,1,1,0,0,0,0,0,0
H3850,0.857534247,0,0,0,1,0,0.0,10,0.7149924714992472,2015,1988,27,1218,720,134,0,0,0,0,0,1,0,1,0,0,0,0,0
H4018,1.0,0,0,0,1,0,1.0,12,0.2695203269520327,2013,1960,53,2093,3733,989,0,0,0,0,0,1,0,0,0,0,1,0,0
H4101,1.0,0,0,0,1,0,0.0,12,0.21488492148849214,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H4651,1.0,0,0,0,1,0,0.0,12,0.395999139599914,2015,1988,27,1218,720,134,0,0,0,0,0,1,0,1,0,0,0,0,0
H3481,0.295890411,0,0,0,1,0,0.0,4,0.06431490643149065,2015,1980,35,1218,1525,222,0,0,0,1,0,0,0,0,1,0,0,0,0
H6729,1.0,0,0,0,1,0,0.0,12,0.2391912239191224,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H4081,0.99726776,0,1,0,1,0,0.0,12,0.15809851580985157,2016,1960,56,1093,3733,457,0,0,0,0,0,1,0,0,0,0,1,0,0
H12871,1.0,0,0,1,0,1,0.0,12,0.44073994407399447,2013,2007,6,2093,60,48,0,0,0,0,0,1,0,0,0,0,0,0,0
H12872,1.0,0,0,1,0,1,0.0,12,0.44073994407399447,2014,2007,7,1517,60,55,0,0,0,0,0,1,0,0,0,0,0,0,0
H18579,1.0,1,0,1,0,1,0.0,12,0.27124112712411275,2013,2006,7,2093,45,55,0,0,0,0,0,1,0,0,0,0,0,0,0
H2417,1.0,0,0,0,1,0,0.0,12,0.10088191008819102,2012,1960,52,2225,3733,1104,0,0,0,0,0,1,0,0,0,1,0,0,0
H2586,1.0,0,0,0,1,0,0.0,12,0.5160249516024952,2014,1980,34,1517,1525,298,0,0,0,0,0,1,0,0,1,0,0,0,0
